plant,gt_code,sku,qty,age_p50_h,age_max_h,as_of
PCR,GT 2476 SUP MM,1325224716111SELS0,469,11.2,55.2,2026-03-01 07:00:00
PCR,GT1915 LT XPC1,1225219Z15008SXC10,433,5.0,55.5,2026-03-01 07:00:00
PCR,GT 1844 UXT,1325218514086HUTR0,419,4.7,54.7,2026-03-01 07:00:00
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,407,1.7,54.9,2026-03-01 07:00:00
PCR,GT 1583 NEO TATA,1325215813079TUNE5,337,5.8,55.2,2026-03-01 07:00:00
PCR,GT 2158 ROYL HYU,1325221318095HURL0,307,4.2,53.8,2026-03-01 07:00:00
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,251,1.9,48.8,2026-03-01 07:00:00
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,204,4.1,34.0,2026-03-01 07:00:00
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,204,12.0,47.5,2026-03-01 07:00:00
PCR,GT 1482 UHL,1325214812074TUHL0,181,1.8,50.2,2026-03-01 07:00:00
PCR,GT 2367 RAN XATW,1325223517104TRXT0,169,23.2,26.2,2026-03-01 07:00:00
PCR,GT 1995 ROYL KIA,1325219515091HURL2,159,3.3,53.2,2026-03-01 07:00:00
PCR,GT1914 XPC1,1D25219Z14008SXC10,156,10.0,55.1,2026-03-01 07:00:00
PCR,GT 1925 XPC1,1225219Z15008SXC11,150,18.9,52.6,2026-03-01 07:00:00
PCR,GT 1844 XPC TML,1D25218014010RXPCT,141,3.0,51.9,2026-03-01 07:00:00
PCR,GT1814 XPC,1D25218Z14008QXPC0,125,16.3,18.2,2026-03-01 07:00:00
PCR,GT 2267 ROYL HYU,1325221417096HURL0,81,0.9,54.7,2026-03-01 07:00:00
PCR,GT  T1457 STAR,"",58,29.8,32.3,2026-03-01 07:00:00
PCR,GT 1422 MAX,1325214812074TTMX0,55,18.0,19.9,2026-03-01 07:00:00
PCR,GT 2256 ROYL,1325222416098VURL0,52,0.8,49.0,2026-03-01 07:00:00
PCR,GT 1765 ROYL,1325217515084HURL2,48,0.4,55.5,2026-03-01 07:00:00
PCR,GT 2676 RAN MT,1325226716123KRMT0,32,26.5,28.7,2026-03-01 07:00:00
PCR,GT 1543 XPC1,1D25215013008SXC1T,4,50.5,53.0,2026-03-01 07:00:00
PCR,GT1564 NEO,1325215514075TUNE0,2,25.1,25.3,2026-03-01 07:00:00
TBR,10.00R 20 JW302,"",124,2.1,51.9,2026-03-01 07:00:00
TBR,9.00 R 20 JUH5,"",98,3.2,48.1,2026-03-01 07:00:00
TBR,315/80R22.5JDL3,"",71,8.2,50.2,2026-03-01 07:00:00
TBR,8.25R20JUH5,"",71,3.2,51.3,2026-03-01 07:00:00
TBR,315/80R22.5JUL4,"",64,13.6,54.8,2026-03-01 07:00:00
TBR,11.00R20JDE++,"",63,6.9,54.3,2026-03-01 07:00:00
TBR,GT 5075 - 295/90R20 JUH XF,"",55,6.8,52.7,2026-03-01 07:00:00
TBR,GT 5078 - 295/80R22.5 JUX E,"",52,3.5,48.1,2026-03-01 07:00:00
TBR,GT 5083 - 295/80R22.5 JUM XM,"",50,1.7,54.1,2026-03-01 07:00:00
TBR,GT 5098 - 275/90R20 JDE XF,"",50,7.5,9.4,2026-03-01 07:00:00
TBR,GT 5114 - 315/80R22.5 JDC XD,"",48,3.6,44.5,2026-03-01 07:00:00
TBR,315/70R22.5JDL3,"",48,10.1,13.5,2026-03-01 07:00:00
TBR,10.00 R 20 JUH5,"",47,2.0,46.8,2026-03-01 07:00:00
TBR,11R22.5JUC,"",46,31.8,34.7,2026-03-01 07:00:00
TBR,385/65R22.5JUCXD,"",46,1.7,20.8,2026-03-01 07:00:00
TBR,295/80R22.5JDL,"",44,12.4,50.6,2026-03-01 07:00:00
TBR,385/65R22.5JUH6,"",43,4.1,6.7,2026-03-01 07:00:00
TBR,295/80R22.5JUL1,"",39,1.3,40.4,2026-03-01 07:00:00
TBR,GT 5111 - 11R22.5 JDC,"",36,30.0,31.6,2026-03-01 07:00:00
TBR,GT 5088 - 315/60R22.5 JDL3,"",34,29.9,31.3,2026-03-01 07:00:00
TBR,9.00 R 20 JUH3,"",31,32.6,34.4,2026-03-01 07:00:00
TBR,GT 5103 - 295/80R22.5 JUM XM OEM,"",25,13.5,44.6,2026-03-01 07:00:00
TBR,GT 5076 - 295/90R20 JDE XF,"",24,9.1,55.6,2026-03-01 07:00:00
TBR,295/75R22.5JUL3,"",23,0.7,1.4,2026-03-01 07:00:00
TBR,10.00 R 20 JDE,"",20,25.1,52.0,2026-03-01 07:00:00
TBR,11.00R20 JUH5,"",18,15.4,41.6,2026-03-01 07:00:00
TBR,8.25R20JDE++,"",16,0.4,1.1,2026-03-01 07:00:00
TBR,GT 5099 - 275/90R20 JUH XF,"",14,11.2,11.9,2026-03-01 07:00:00
TBR,11R22.5JDH,"",14,24.2,39.5,2026-03-01 07:00:00
TBR,GT 5096 - 11.00R20 JDC XD,"",11,7.3,41.0,2026-03-01 07:00:00
TBR,GT 5095 - 11.00R20 JUC3,"",8,31.1,48.5,2026-03-01 07:00:00
TBR,GT 5079 - 255/70R22.5 JUX E,"",3,52.2,52.5,2026-03-01 07:00:00
TBR,GT 5113 - 295/80R22.5 JDC XD,"",2,43.7,43.9,2026-03-01 07:00:00
TBR,315/70R22.5JUL4,"",1,45.5,45.5,2026-03-01 07:00:00
