plant,gt_code,sku,qty,age_p50_h,age_max_h,as_of
PCR,GT 1492 UHL,1325114812074TUHL0,826,26.0,40.4,2026-01-01 07:00:00
PCR,GT 1583 NEO TATA,1325215813079TUNE5,426,5.3,55.0,2026-01-01 07:00:00
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,403,3.1,51.8,2026-01-01 07:00:00
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,367,2.6,5.8,2026-01-01 07:00:00
PCR,GT 2455 RAN A/T,1325221715100SRAT0,270,3.3,43.8,2026-01-01 07:00:00
PCR,GT 1844 XPC TML,1D25218014010RXPCT,270,10.4,37.3,2026-01-01 07:00:00
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,269,3.4,54.5,2026-01-01 07:00:00
PCR,GT 2267 ROYL HYU,1325221417096HURL0,234,2.4,54.7,2026-01-01 07:00:00
PCR,GT 2568 HT2,1325225518111HRHB0,211,3.5,29.6,2026-01-01 07:00:00
PCR,GT 1894 MAX,1325218614088TTMX0,191,9.3,12.3,2026-01-01 07:00:00
PCR,GT 1765 ROYL,1325217515084HURL2,145,1.5,51.5,2026-01-01 07:00:00
PCR,GT1814 XPC,1D25218Z14008QXPC0,142,4.8,53.6,2026-01-01 07:00:00
PCR,GT 2258 RAN HPE,1325222318098HRHE0,141,6.0,8.5,2026-01-01 07:00:00
PCR,GT 1854 XPC TT,1D25118014010RXPC0,130,1.4,47.3,2026-01-01 07:00:00
PCR,GT 1543 XPC1,1D25215013008SXC1T,110,17.7,55.7,2026-01-01 07:00:00
PCR,GT 1995 ROYL KIA,1325219515091HURL2,98,6.8,55.6,2026-01-01 07:00:00
PCR,GT 1422 MAX,1325214812074TTMX0,94,0.8,39.8,2026-01-01 07:00:00
PCR,GT 1925 XPC1,1225219Z15008SXC11,71,12.1,15.5,2026-01-01 07:00:00
PCR,GT 2367 RAN XATW,1325223517104TRXT0,57,30.8,36.8,2026-01-01 07:00:00
PCR,GT 3125 RAN MT,1325231015109QRMT0,46,20.1,22.9,2026-01-01 07:00:00
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,38,16.7,44.1,2026-01-01 07:00:00
PCR,GT 2158 ROYL HYU,1325221318095HURL0,34,0.4,48.7,2026-01-01 07:00:00
PCR,GT2266 RAN HT,1325221516098HRHT0,26,15.2,41.8,2026-01-01 07:00:00
PCR,GT 2476 SUP MM,1325224716111SELS0,20,15.6,49.4,2026-01-01 07:00:00
PCR,GT 1844 UXT,1325218514086HUTR0,14,46.5,55.9,2026-01-01 07:00:00
PCR,GT 2617 RAN XAT,1325226517112HRXT0,2,32.1,32.8,2026-01-01 07:00:00
TBR,8.25R20JDE++,"",97,6.3,11.4,2026-01-01 07:00:00
TBR,8.25R20JUH5,"",82,2.7,52.4,2026-01-01 07:00:00
TBR,GT 5083 - 295/80R22.5 JUM XM,"",72,2.5,20.5,2026-01-01 07:00:00
TBR,GT 5114 - 315/80R22.5 JDC XD,"",70,3.6,53.5,2026-01-01 07:00:00
TBR,11.00R20 JUH5,"",60,1.8,36.6,2026-01-01 07:00:00
TBR,10.00 R 20 JUH5,"",59,1.0,39.1,2026-01-01 07:00:00
TBR,315/70R22.5JDL3,"",55,5.0,7.2,2026-01-01 07:00:00
TBR,315/80R22.5JDL3,"",53,8.7,38.2,2026-01-01 07:00:00
TBR,GT 5014 - 10.00R20 CUX,"",52,8.6,10.5,2026-01-01 07:00:00
TBR,11R22.5 PD301,"",51,24.9,26.4,2026-01-01 07:00:00
TBR,385/65R22.5JTL,"",50,10.2,12.8,2026-01-01 07:00:00
TBR,295/90R20JDCXD,"",44,14.5,20.0,2026-01-01 07:00:00
TBR,GT 5095 - 11.00R20 JUC3,"",44,1.4,3.0,2026-01-01 07:00:00
TBR,GT 5076 - 295/90R20 JDE XF,"",38,1.2,45.2,2026-01-01 07:00:00
TBR,10.00 R 20 JDE,"",33,1.3,33.2,2026-01-01 07:00:00
TBR,GT 5096 - 11.00R20 JDC XD,"",33,4.6,9.8,2026-01-01 07:00:00
TBR,GT 5075 - 295/90R20 JUH XF,"",23,4.2,40.6,2026-01-01 07:00:00
TBR,11.00R20JDE++,"",18,9.7,45.5,2026-01-01 07:00:00
TBR,385/65R22.5JUCXD,"",17,17.0,20.1,2026-01-01 07:00:00
TBR,295/80R22.5JDL,"",15,0.6,1.1,2026-01-01 07:00:00
TBR,GT 5055 - 295/80R22.5 JUC XM,"",13,31.7,33.1,2026-01-01 07:00:00
TBR,10.00R 20 JW302,"",12,32.4,34.9,2026-01-01 07:00:00
TBR,9.00 R 20 JDE++,"",12,28.2,29.3,2026-01-01 07:00:00
TBR,315/80R22.5JUC4,"",11,31.3,32.8,2026-01-01 07:00:00
TBR,295/80R22.5JUL1,"",8,13.5,37.9,2026-01-01 07:00:00
TBR,295/75R22.5JTHSD,"",8,23.2,23.5,2026-01-01 07:00:00
TBR,9.00 R 20 JUH5,"",3,23.3,23.4,2026-01-01 07:00:00
