plant,gt_code,sku,qty,age_p50_h,age_max_h,as_of
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,919,6.2,55.2,2026-04-01 07:00:00
PCR,GT 2267 ROYL HYU,1325221417096HURL0,417,5.1,55.9,2026-04-01 07:00:00
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,352,2.7,25.6,2026-04-01 07:00:00
PCR,GT 2076 RAN HT,1325220416092HRHT0,296,9.0,34.4,2026-04-01 07:00:00
PCR,GT 1894 MAX,1325218614088TTMX0,247,2.3,54.0,2026-04-01 07:00:00
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,212,9.0,35.6,2026-04-01 07:00:00
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,205,1.4,44.0,2026-04-01 07:00:00
PCR,GT 2575 RAN A/T,1325220615106SRAT0,203,15.8,18.4,2026-04-01 07:00:00
PCR,GT 1765 ROYL,1325217515084HURL2,196,2.5,38.9,2026-04-01 07:00:00
PCR,GT 1966 RAN HPE,1325219416089VRHE0,183,2.2,43.1,2026-04-01 07:00:00
PCR,GT 1482 UHL,1325214812074TUHL0,171,9.8,24.7,2026-04-01 07:00:00
PCR,GT  T1457 STAR,"",146,25.2,30.2,2026-04-01 07:00:00
PCR,GT 3115 RAN,1325210015109QRAT0,146,7.8,10.9,2026-04-01 07:00:00
PCR,GT 1583 NEO TATA,1325215813079TUNE5,136,7.0,48.7,2026-04-01 07:00:00
PCR,GT 1925 XPC1,1225219Z15008SXC11,123,1.3,46.8,2026-04-01 07:00:00
PCR,GT1914 XPC1,1D25219Z14008SXC10,107,1.0,2.8,2026-04-01 07:00:00
PCR,GT 1854 XPC TT,1D25118014010RXPC0,100,9.8,11.6,2026-04-01 07:00:00
PCR,GT 2568 HT2,1325225518111HRHB0,96,1.2,2.9,2026-04-01 07:00:00
PCR,GT1564 NEO,1325215514075TUNE0,82,15.5,41.3,2026-04-01 07:00:00
PCR,GT 1995 ROYL KIA,1325219515091HURL2,74,8.7,47.1,2026-04-01 07:00:00
PCR,GT 1844 XPC TML,1D25218014010RXPCT,74,4.3,7.3,2026-04-01 07:00:00
PCR,GT 2158 ROYL HYU,1325221318095HURL0,71,8.6,30.4,2026-04-01 07:00:00
PCR,GT 1543 XPC1,1D25215013008SXC1T,63,12.5,13.2,2026-04-01 07:00:00
PCR,GT 1856 ROYL,1325218316083HURL0,47,39.1,55.3,2026-04-01 07:00:00
PCR,GT 2226 LEVI,1325222316099YLEVY,30,22.8,23.8,2026-04-01 07:00:00
PCR,GT 3105 RAN XAT,1325231015109RRXT0,2,54.3,54.4,2026-04-01 07:00:00
TBR,GT 5083 - 295/80R22.5 JUM XM,"",93,4.0,54.1,2026-04-01 07:00:00
TBR,GT 5113 - 295/80R22.5 JDC XD,"",89,4.5,8.2,2026-04-01 07:00:00
TBR,315/70R22.5JDL3,"",89,10.2,43.5,2026-04-01 07:00:00
TBR,GT 5079 - 255/70R22.5 JUX E,"",88,2.9,53.9,2026-04-01 07:00:00
TBR,10.00 R 20 JUH3+,"",70,2.2,46.5,2026-04-01 07:00:00
TBR,10.00R 20 JW302,"",67,8.1,42.2,2026-04-01 07:00:00
TBR,GT 5075 - 295/90R20 JUH XF,"",65,7.3,39.4,2026-04-01 07:00:00
TBR,GT 5096 - 11.00R20 JDC XD,"",60,2.1,53.9,2026-04-01 07:00:00
TBR,GT 5093 - 11R22.5 CUC2,"",59,9.4,11.6,2026-04-01 07:00:00
TBR,11R22.5 JUL2+,"",49,13.2,51.3,2026-04-01 07:00:00
TBR,11.00R20JDE++,"",48,3.4,27.9,2026-04-01 07:00:00
TBR,11.00R20 JUH5,"",47,3.4,18.5,2026-04-01 07:00:00
TBR,8.25R20JDE++,"",44,3.9,51.7,2026-04-01 07:00:00
TBR,GT 5098 - 275/90R20 JDE XF,"",39,1.2,25.0,2026-04-01 07:00:00
TBR,GT 5076 - 295/90R20 JDE XF,"",38,35.0,55.1,2026-04-01 07:00:00
TBR,11R22.5JUHE,"",36,18.8,20.5,2026-04-01 07:00:00
TBR,10.00 R 20 JUH5,"",34,1.1,45.1,2026-04-01 07:00:00
TBR,315/80R22.5JUC4,"",31,17.0,18.9,2026-04-01 07:00:00
TBR,8.25R20JUH5,"",28,9.9,47.9,2026-04-01 07:00:00
TBR,GT 5102 - 295/80R22.5 JDL XM DOM,"",28,19.1,21.2,2026-04-01 07:00:00
TBR,GT 5095 - 11.00R20 JUC3,"",27,8.2,45.7,2026-04-01 07:00:00
TBR,GT 5078 - 295/80R22.5 JUX E,"",26,27.0,32.8,2026-04-01 07:00:00
TBR,295/80R22.5JDL,"",19,31.6,34.0,2026-04-01 07:00:00
TBR,GT 5099 - 275/90R20 JUH XF,"",14,29.1,32.1,2026-04-01 07:00:00
TBR,GT 5055 - 295/80R22.5 JUC XM,"",12,45.1,47.2,2026-04-01 07:00:00
TBR,295/80R22.5JUL1,"",10,50.0,52.3,2026-04-01 07:00:00
TBR,9.00 R 20 JUH5,"",4,36.5,38.7,2026-04-01 07:00:00
TBR,255/70R22.5JTH1,"",2,20.5,20.8,2026-04-01 07:00:00
TBR,9.00 R 20 JDE++,"",2,31.2,31.2,2026-04-01 07:00:00
TBR,11R22.5JUX,"",1,36.2,36.2,2026-04-01 07:00:00
