plant,gt_code,sku,qty,age_p50_h,age_max_h,as_of
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,550,4.1,45.3,2026-05-01 07:00:00
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,325,4.2,55.1,2026-05-01 07:00:00
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,307,3.1,25.7,2026-05-01 07:00:00
PCR,GT 1995 ROYL KIA,1325219515091HURL2,304,6.0,55.2,2026-05-01 07:00:00
PCR,GT  T1457 STAR,"",287,3.5,50.7,2026-05-01 07:00:00
PCR,GT 1844 XPC TML,1D25218014010RXPCT,271,9.6,27.4,2026-05-01 07:00:00
PCR,GT 2267 ROYL HYU,1325221417096HURL0,264,2.5,55.0,2026-05-01 07:00:00
PCR,GT 2568 HT2,1325225518111HRHB0,251,4.0,44.8,2026-05-01 07:00:00
PCR,GT 1482 UHL,1325214812074TUHL0,247,22.7,28.3,2026-05-01 07:00:00
PCR,GT 1925 XPC1,1225219Z15008SXC11,215,14.5,46.3,2026-05-01 07:00:00
PCR,GT 2258 RAN HPE,1325222318098HRHE0,199,22.2,26.2,2026-05-01 07:00:00
PCR,GT 1583 NEO TATA,1325215813079TUNE5,196,6.4,37.0,2026-05-01 07:00:00
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,182,1.8,45.4,2026-05-01 07:00:00
PCR,GT 2276 RAN HT,1325227616114TRHT0,156,7.0,10.5,2026-05-01 07:00:00
PCR,GT 1512 XPC1,1225215Z12008RXC10,138,15.5,18.4,2026-05-01 07:00:00
PCR,GT 1765 ROYL,1325217515084HURL2,121,1.3,17.5,2026-05-01 07:00:00
PCR,GT 1543 XPC1,1D25215013008SXC1T,101,1.5,45.5,2026-05-01 07:00:00
PCR,GT 1412 XPC MM,1D25114012008QXPC0,83,0.7,49.0,2026-05-01 07:00:00
PCR,GT 1684 ROYL,1325216814085TURL2,78,37.3,45.8,2026-05-01 07:00:00
PCR,GT 1916 ROYL,1325219416089HURL1,44,30.0,33.9,2026-05-01 07:00:00
PCR,GT 1865 ROYL RENO,1325218515088TURL1,41,27.6,32.5,2026-05-01 07:00:00
PCR,GT 1673 NEO,1325216613079HUNE0,37,48.9,50.5,2026-05-01 07:00:00
PCR,GT 2158 ROYL HYU,1325221318095HURL0,13,19.3,47.3,2026-05-01 07:00:00
PCR,GT1915 LT XPC1,1225219Z15008SXC10,13,7.9,9.4,2026-05-01 07:00:00
PCR,GT 2476 SUP MM,1325224716111SELS0,12,42.9,45.0,2026-05-01 07:00:00
PCR,GT 1844 UXT,1325218514086HUTR0,3,34.8,34.8,2026-05-01 07:00:00
PCR,GT 2366 ROYL,1325223516103TURL0,3,36.0,36.0,2026-05-01 07:00:00
TBR,GT 5078 - 295/80R22.5 JUX E,"",128,12.5,33.7,2026-05-01 07:00:00
TBR,10.00 R 20 JDE,"",109,3.6,49.1,2026-05-01 07:00:00
TBR,11.00R20 JUH5,"",87,15.6,55.2,2026-05-01 07:00:00
TBR,8.25R20JDE++,"",86,2.8,36.7,2026-05-01 07:00:00
TBR,8.25R20JUH5,"",83,7.0,30.5,2026-05-01 07:00:00
TBR,GT 5083 - 295/80R22.5 JUM XM,"",68,3.0,38.8,2026-05-01 07:00:00
TBR,11R22.5JUC,"",55,25.3,29.2,2026-05-01 07:00:00
TBR,315/70R22.5JUL4,"",54,4.5,6.6,2026-05-01 07:00:00
TBR,GT 5096 - 11.00R20 JDC XD,"",53,1.7,52.3,2026-05-01 07:00:00
TBR,295/80R22.5JUL1,"",51,8.0,51.7,2026-05-01 07:00:00
TBR,11R22.5 JDH5+,"",51,3.6,5.7,2026-05-01 07:00:00
TBR,11.00R20JDE++,"",45,4.0,22.1,2026-05-01 07:00:00
TBR,GT 5095 - 11.00R20 JUC3,"",45,6.1,55.6,2026-05-01 07:00:00
TBR,10.00R 20 JW302,"",44,3.0,42.5,2026-05-01 07:00:00
TBR,315/80R22.5JDL3,"",43,1.5,37.8,2026-05-01 07:00:00
TBR,315/70R22.5JDL3,"",40,20.4,23.0,2026-05-01 07:00:00
TBR,GT 5079 - 255/70R22.5 JUX E,"",29,8.5,49.9,2026-05-01 07:00:00
TBR,GT 5075 - 295/90R20 JUH XF,"",27,0.9,22.2,2026-05-01 07:00:00
TBR,10.00 R 20 JUH5,"",25,1.0,50.7,2026-05-01 07:00:00
TBR,295/75R22.5JTHSD,"",19,0.7,25.1,2026-05-01 07:00:00
TBR,GT 5123 - 385/65R22.5 JUL4,"",9,31.4,38.8,2026-05-01 07:00:00
TBR,GT 5076 - 295/90R20 JDE XF,"",7,17.5,32.7,2026-05-01 07:00:00
TBR,9.00 R 20 JUH3,"",6,31.2,32.4,2026-05-01 07:00:00
TBR,10.00 R 20 JUH3+,"",4,15.4,21.0,2026-05-01 07:00:00
TBR,9.00 R 20 JDE++,"",2,9.8,19.5,2026-05-01 07:00:00
TBR,GT 5101 - 11.00R20 JS114,"",2,35.8,37.3,2026-05-01 07:00:00
TBR,GT 6019 - 385/65R22.5 JUH6,"",1,55.0,55.0,2026-05-01 07:00:00
TBR,9.00 R 20 JUH5,"",1,14.4,14.4,2026-05-01 07:00:00
TBR,GT 5114 - 315/80R22.5 JDC XD,"",1,51.5,51.5,2026-05-01 07:00:00
