__metadata,Equnr,Eqktu,Swerk,PName,SyStat,UserStat,UserStatTxt,CurrStat,Werks,Eqtyp
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1458012ULHLIFGC01,145/80R12 ULTIMA HILIFE_GC01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1458012ULHLIFGC02,145/80R12 ULTIMA HILIFE_GC02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC05')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC05')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1458012ULHLIFGC05,145/80R12 ULTIMA HI LIFE_GC05,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC06')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458012ULHLIFGC06')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1458012ULHLIFGC06,145/80R12 ULTIMA HI LIFE_GC06,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458013ULTNXTGR09')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458013ULTNXTGR09')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1458013ULTNXTGR09,145 / 80 R 13 ULTIMA NXT _ GR09,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458013ULTNXTGR11')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1458013ULTNXTGR11')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1458013ULTNXTGR11,145 / 80 R 13 ULTIMA NXT _ GR11,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B14580R12TAXIHMI03')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B14580R12TAXIHMI03')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B14580R12TAXIHMI03,145/80R12 TAXIMAX TL _ HMI03,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B14580R12TAXIHMI04')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B14580R12TAXIHMI04')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B14580R12TAXIHMI04,145/80R12 TAXIMAX TL _ HMI04,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC07,145 R 12 ULTIMA XPC-GC07,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC08')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC08')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC08,145 R 12 ULTIMA XPC-GC08,1900,Chennai Tyre Plant,,,,ACTIVE,,
