__metadata,Equnr,Eqktu,Swerk,PName,SyStat,UserStat,UserStatTxt,CurrStat,Werks,Eqtyp
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM01,295/90R20 JW JUC XM _HM01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM02,295/90R20 JW JUC XM _HM02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM03')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM03')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM03,295/90R20 JW JUC XM _ HM03,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM04')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM04')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM04,295/90R20 JW JUC XM _ HM04,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM05')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM05')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM05,295/90R20 JW JUC XM _ HM05,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM06')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM06')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM06,295/90R20 JW JUC XM _ HM06,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM07,295/90R20 JW JUC XM _HM07,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM08')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM08')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM08,295/90R20 JETWAY JUC XM _ HM08,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM09')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30216HM09')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30216HM09,295/90R20 JETWAY JUC XM _ HM09,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30416HM01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JW30416HM01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JW30416HM01,295/90R20 JW JUH XF - HM01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216GR01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216GR01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC216GR01,10.00 R 20 JW JUC2 16PR TT_GR01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216HM07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216HM07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC216HM07,10.00 R 20 JW JUC2 16PR TT_HM07,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216HM09')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216HM09')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC216HM09,10.00 R 20 JW JUC2 16PR TT_HM09,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216HM10')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC216HM10')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC216HM10,10.00 R 20 JW JUC2 16PR TT_HM10,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316GC07,10.00 R 20 JW JUC3 16PR TT_GC07,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC08')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC08')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316GC08,10.00 R 20 JW JUC3 16PR TT_GC08,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC13')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC13')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316GC13,295/90 R 20 JW JUC3 TT GC-13,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC14')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316GC14')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316GC14,295/90 R 20 JW JUC3 TT GC-14,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316HM07,295/90 R 20 JW JUC3 TT_HM07,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM08')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM08')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316HM08,295/ 90 R 20 JW JUC3 TT_HM08,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM10')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM10')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316HM10,10.00R20 JETWAY JUC3 TT 16PR HM-10,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM11')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM11')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316HM11,10.00R20 JETWAY JUC3 TT 16PR HM-11,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM12')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM12')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316HM12,295/90 R 20 JW JUC3_HM12,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM13')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUC316HM13')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUC316HM13,295/90 R 20 JW JUC3_HM13,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUCTTMB01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUCTTMB01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUCTTMB01,10.00 R 20 JW JUC _MB01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUCTTMB02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUCTTMB02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUCTTMB02,10.00 R 20 JW JUC _MB02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC01,10.00 R 20 JW JUH3+ 16PR TT_GC01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC02,10.00 R 20 JW JUH3+ 16PR TT_GC02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC03')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC03')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC03,10.00 R 20 JW JUH3+ 16PR TT_GC03,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC04')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC04')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC04,10.00 R 20 JW JUH3+ 16PR TT_GC04,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC05')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC05')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC05,10.00 R 20 JW JUH3+ 16PR TT_GC05,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC06')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC06')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC06,10.00 R 20 JW JUH3+ 16PR TT_GC06,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC07,10.00 R 20 JW JUH3+ 16PR TT_GC07,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC08')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC08')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC08,10.00 R 20 JW JUH3+ 16PR TT_GC08,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC09')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC09')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC09,10.00 R 20 JW JUH3+ 16PR TT_GC09,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC10')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC10')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC10,10.00 R 20 JW JUH3+ 16PR TT_GC10,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC11')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC11')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC11,10.00 R 20 JW JUH3+ 16PR TT_GC11,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC12')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC12')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC12,10.00 R 20 JW JUH3+ 16PR TT_GC12,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC13')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC13')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC13,10.00 R 20 JW JUH3+ 16PR TT_GC13,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC14')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GC14')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GC14,10.00 R 20 JW JUH3+ 16PR TT_GC14,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR05')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR05')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GR05,10.00 R 20 JW JUH3+ 16PR TT_GR05,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR06')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR06')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GR06,10.00 R 20 JW JUH3+ 16PR TT_GR06,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GR07,10.00 R 20 JW JUH3+ 16PR TT_GR07,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR08')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR08')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GR08,10.00 R 20 JW JUH3+ 16PR TT_GR08,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR09')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR09')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GR09,10.00 R 20 JW JUH3+ 16PR TT_GR09,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR10')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316GR10')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316GR10,10.00 R 20 JW JUH3+ 16PR TT_GR10,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316HM01,10.00 R 20 VIKRANT VUH3+ TT 16PR HM-01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316HM02,10.00 R 20 VIKRANT VUH3+ TT 16PR HM-02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM03')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM03')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316HM03,10.00 R 20 JW JUH3+ 16PR TT_HM03,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM04')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM04')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316HM04,10.00 R 20 JW JUH3+ 16PR TT_HM04,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM05')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM05')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316HM05,10.00 R 20 JW JUH3+ 16PR TT_HM05,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM06')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM06')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316HM06,10.00 R 20 JW JUH3+ 16PR TT_HM06,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM07')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C10R20JWJUH316HM07')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C10R20JWJUH316HM07,10.00 R 20 JW JUH3+ 16PR TT_HM07,1900,Chennai Tyre Plant,,,,ACTIVE,,
