Plant_Code,Mold_Name,Item_Code,Full_Load
1900,C10R20JSJDH316HM17,1121110020016KDH30,
1900,C10R20JSJDH316HM18,1121110020016KDH30,
1900,C10R20JSJDH316HM19,1121110020016KDH30,
1900,C10R20JSJDH316HM20,1121110020016KDH30,
1900,C10R20JSJDH316HM21,1121110020016KDH30,
1900,C10R20JSJDH316HM22,1121110020016KDH30,
1900,C10R20JSJDH316HM23,1121110020016KDH30,
1900,C10R20JSJDH316HM24,1121110020016KDH30,
1900,C10R20JSJDH316SY02,1121110020016KDH30,
1900,C10R20JSJDH316SY05,1121110020016KDH30,
1900,C1020JS10916JDEG40,1121110020016KJ191,
1900,C1020JS10916JDEG19,1121110020016KJDE0,
1900,C10R20JSJDH316GC01,1121110020016KJDH0,
1900,C10R20JSJDH316GC04,1121110020016KJDH0,
1900,C10R20JSJDH316GC06,1121110020016KJDH0,
1900,C10R20JSJDH316GC26,1121110020016KJDH0,
1900,C10R20JSJDH316GC27,1121110020016KJDH0,
1900,C10R20JSJDH316GC31,1121110020016KJDH0,
1900,C10R20JSJDH316GC32,1121110020016KJDH0,
1900,C10R20JSJDH316GC33,1121110020016KJDH0,
1900,C10R20JSJDH316GC36,1121110020016KJDH0,
1900,C10R20JSJDH316GC37,1121110020016KJDH0,
1900,C10R20JSJDH316SY02,1121110020016KJDH0,
1900,C10R20JSJDH316SY05,1121110020016KJDH0,
1900,C10R20JSJDL16GR05,1121110020016KJDL0,
1900,C10R20JSJDL16GR06,1121110020016KJDL0,
1900,C10R20JSJDL16GR08,1121110020016KJDL0,
1900,C10R20JSJDL16GR09,1121110020016KJDL0,
1900,C10R20JSJDL16GR10,1121110020016KJDL0,
1900,C10R20JSJDL16GR11,1121110020016KJDL0,
1900,C10R20JSJDL16GR12,1121110020016KJDL0,
1900,C10R20JSJDL16GR13,1121110020016KJDL0,
1900,C10R20JSJDL16GR14,1121110020016KJDL0,
1900,C10R20JSJDL16GR15,1121110020016KJDL0,
1900,C10R20JSJDL16GR05,1121110020016KJDL1,
1900,C10R20JSJDL16GR06,1121110020016KJDL1,
1900,C10R20JSJDL16GR08,1121110020016KJDL1,
1900,C10R20JSJDL16GR09,1121110020016KJDL1,
1900,C10R20JSJDL16GR10,1121110020016KJDL1,
1900,C10R20JSJDL16GR11,1121110020016KJDL1,
1900,C10R20JSJDL16GR12,1121110020016KJDL1,
1900,C10R20JSJDL16GR13,1121110020016KJDL1,
1900,C10R20JSJDL16GR14,1121110020016KJDL1,
1900,C10R20JSJDL16GR15,1121110020016KJDL1,
1900,C1020JS10916JDEG19,1121110020018KJDE0,
1900,C1020JS10918JDEG36,1121110020018KJDE0,
1900,C10R20JSJDE16GC14,1121110020018KJDE0,
